date,BTC-USD,SPY
2023-06-21,30027.2969,417.9826
2023-06-22,29912.2812,419.4915
2023-06-23,30695.4688,416.3201
2023-06-24,30548.6953,
2023-06-25,30480.2617,
2023-06-26,30271.1309,414.6191
2023-06-27,30688.1641,419.1647
2023-06-28,30086.2461,419.3761
2023-06-29,30445.3516,421.0291
2023-06-30,30477.252,425.9975
2023-07-01,30590.0781,
2023-07-02,30620.7695,
2023-07-03,31156.4395,426.4876
2023-07-04,30777.582,
2023-07-05,30514.166,425.8533
2023-07-06,29909.3379,422.5186
2023-07-07,30342.2656,421.4519
2023-07-08,30292.541,
2023-07-09,30171.2344,
2023-07-10,30414.4707,422.5186
2023-07-11,30620.9512,425.2094
2023-07-12,30391.6465,428.6307
2023-07-13,31476.0488,432.0327
2023-07-14,30334.0684,431.7635
2023-07-15,30295.8066,
2023-07-16,30249.1328,
2023-07-17,30145.8887,433.2627
2023-07-18,29856.5625,436.4821
2023-07-19,29913.9238,437.4528
2023-07-20,29792.0156,434.5505
2023-07-21,29908.7441,434.5505
2023-07-22,29771.8027,
2023-07-23,30084.5391,
2023-07-24,29176.916,436.4918
2023-07-25,29227.3906,437.6834
2023-07-26,29354.9727,437.7507
2023-07-27,29210.6895,434.8484
2023-07-28,29319.2461,439.1057
2023-07-29,29356.918,
2023-07-30,29275.3086,
2023-07-31,29230.1113,439.9418
2023-08-01,29675.7324,438.6829
2023-08-02,29151.959,432.5805
2023-08-03,29178.6797,431.3408
2023-08-04,29074.0918,429.3899
2023-08-05,29042.127,
2023-08-06,29041.8555,
2023-08-07,29180.5781,433.1378
2023-08-08,29765.4922,431.2542
2023-08-09,29561.4941,428.3712
2023-08-10,29429.5918,428.525
2023-08-11,29397.7148,428.2751
2023-08-12,29415.9648,
2023-08-13,29282.9141,
2023-08-14,29408.4434,430.6392
2023-08-15,29170.3477,425.6228
2023-08-16,28701.7793,422.4994
2023-08-17,26664.5508,419.2801
2023-08-18,26049.5566,419.4819
2023-08-19,26096.2051,
2023-08-20,26189.584,
2023-08-21,26124.1406,422.2111
2023-08-22,26031.6562,421.0675
2023-08-23,26431.6406,425.7572
2023-08-24,26162.373,419.8566
2023-08-25,26047.668,422.8165
2023-08-26,26008.4629,
2023-08-27,26089.6934,
2023-08-28,26106.1504,425.4977
2023-08-29,27727.3926,431.6483
2023-08-30,27297.2656,433.4261
2023-08-31,25931.4727,432.7919
2023-09-01,25800.7246,433.5991
2023-09-02,25868.7988,
2023-09-03,25969.5664,
2023-09-04,25812.416,
2023-09-05,25779.9824,431.7252
2023-09-06,25753.2363,428.8229
2023-09-07,26240.1953,427.5063
2023-09-08,25905.6543,428.1501
2023-09-09,25895.6777,
2023-09-10,25832.2266,
2023-09-11,25162.6543,430.9659
2023-09-12,25833.3438,428.6019
2023-09-13,26228.3242,429.1016
2023-09-14,26539.6738,432.8015
2023-09-15,26608.6934,427.5869
2023-09-16,26568.2812,
2023-09-17,26534.1875,
2023-09-18,26754.2812,427.8377
2023-09-19,27211.1172,426.9504
2023-09-20,27132.0078,423.0253
2023-09-21,26567.6328,416.0334
2023-09-22,26579.5684,415.0979
2023-09-23,26579.3906,
2023-09-24,26256.8262,
2023-09-25,26298.4805,416.8435
2023-09-26,26217.25,410.7196
2023-09-27,26352.7168,410.8835
2023-09-28,27021.5469,413.2656
2023-09-29,26911.7207,412.2626
2023-09-30,26967.916,
2023-10-01,27983.75,
2023-10-02,27530.7852,412.0986
2023-10-03,27429.9785,406.5823
2023-10-04,27799.3945,409.543
2023-10-05,27415.9121,409.3886
2023-10-06,27946.5977,414.2492
2023-10-07,27968.8398,
2023-10-08,27935.0898,
2023-10-09,27583.6777,416.9013
2023-10-10,27391.0195,419.0713
2023-10-11,26873.3203,420.7879
2023-10-12,26756.7988,418.2226
2023-10-13,26862.375,416.1394
2023-10-14,26861.707,
2023-10-15,27159.6523,
2023-10-16,28519.4668,420.5179
2023-10-17,28415.748,420.4986
2023-10-18,28328.3418,414.8953
2023-10-19,28719.8066,411.2499
2023-10-20,29682.9492,406.1965
2023-10-21,29918.4121,
2023-10-22,29993.8965,
2023-10-23,33086.2344,405.4926
2023-10-24,33901.5273,408.5496
2023-10-25,34502.8203,402.6861
2023-10-26,34156.6484,397.864
